"_tid","v","_vp","c","fid","fuid","mime","pr","set","u"
"56681133#AgADLAwAAtzpKUg","horny","hor","1700763649","CAACAgIAAxUAAWVc3ZFOwSJhBtLjjtXgbwdPRcItAAIsDAAC3OkpSKZxjTlr-T28MwQ","AgADLAwAAtzpKUg","","","fbrruus","56681133"
"56681133#AgADLAwAAtzpKUg","im okay","""im ""","1700763649","CAACAgIAAxUAAWVc3ZFOwSJhBtLjjtXgbwdPRcItAAIsDAAC3OkpSKZxjTlr-T28MwQ","AgADLAwAAtzpKUg","","","fbrruus","56681133"
"56681133#AgADLAwAAtzpKUg","okay","oka","1700763649","CAACAgIAAxUAAWVc3ZFOwSJhBtLjjtXgbwdPRcItAAIsDAAC3OkpSKZxjTlr-T28MwQ","AgADLAwAAtzpKUg","","","fbrruus","56681133"
"56681133#AgADLAwAAtzpKUg","хорни","хор","1700763649","CAACAgIAAxUAAWVc3ZFOwSJhBtLjjtXgbwdPRcItAAIsDAAC3OkpSKZxjTlr-T28MwQ","AgADLAwAAtzpKUg","","","fbrruus","56681133"
"56681133#AgAD3kQAAgULgUs","cat","cat","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgAD3kQAAgULgUs","censored cat","cen","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgAD3kQAAgULgUs","pixelated cat","pix","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgAD3kQAAgULgUs","зацензуреный кот","зац","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgAD3kQAAgULgUs","кот","кот","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgAD3kQAAgULgUs","цензура","цен","1719432503","CAACAgIAAxkBAAIhJ2Z8dRQ__LyX34fgw8ocBVBDVSAnAALeRAACBQuBS4LqaOfawlwmNQQ","AgAD3kQAAgULgUs","","","","56681133"
"56681133#AgADywAD6v0qFw","днем народження","дне","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","днем рождения","дне","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","з днем народження","з д","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","з др","з д","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","народження","нар","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","рождения","рож","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","с днем рождения","с д","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADywAD6v0qFw","с др","с д","1700829322","CAACAgIAAxUAAWVgh62HYFtdbfOXdGi4uAkNXXz2AALLAAPq_SoXtcEDchmMZy4zBA","AgADywAD6v0qFw","","","ukrmem_culture","56681133"
"56681133#AgADKQcAAkVRkw4","мы с тобой самыесамы","""мы ""","1700761597","CAACAgIAAxUAAWVc174p-cF3cZNkR9qhueE4ZfQGAAIpBwACRVGTDi9VKgoCPR5hMwQ","AgADKQcAAkVRkw4","","","Cutecatsmeme","56681133"
"56681133#AgADKQcAAkVRkw4","с тобой самыесамые","с т","1700761600","CAACAgIAAxUAAWVc174p-cF3cZNkR9qhueE4ZfQGAAIpBwACRVGTDi9VKgoCPR5hMwQ","AgADKQcAAkVRkw4","","","Cutecatsmeme","56681133"
"56681133#AgADKQcAAkVRkw4","самыесамые","сам","1700761598","CAACAgIAAxUAAWVc174p-cF3cZNkR9qhueE4ZfQGAAIpBwACRVGTDi9VKgoCPR5hMwQ","AgADKQcAAkVRkw4","","","Cutecatsmeme","56681133"
"56681133#AgADKQcAAkVRkw4","тобой самыесамые","тоб","1700761601","CAACAgIAAxUAAWVc174p-cF3cZNkR9qhueE4ZfQGAAIpBwACRVGTDi9VKgoCPR5hMwQ","AgADKQcAAkVRkw4","","","Cutecatsmeme","56681133"
"56681133#AgADKAMAAqKK8Qc","кофе","коф","1700820431","CAACAgIAAxUAAWVdn8aV3v0hLUme7gNCmwi3sr3hAAIoAwACoorxByY2kzlFQdNmMwQ","AgADKAMAAqKK8Qc","","","VsratyeOk","56681133"
"56681133#AgADKAMAAqKK8Qc","на чашечку кофе","""на ""","1700820431","CAACAgIAAxUAAWVdn8aV3v0hLUme7gNCmwi3sr3hAAIoAwACoorxByY2kzlFQdNmMwQ","AgADKAMAAqKK8Qc","","","VsratyeOk","56681133"
"56681133#AgADKAMAAqKK8Qc","одноклассники пригла","одн","1700820431","CAACAgIAAxUAAWVdn8aV3v0hLUme7gNCmwi3sr3hAAIoAwACoorxByY2kzlFQdNmMwQ","AgADKAMAAqKK8Qc","","","VsratyeOk","56681133"
"56681133#AgADKAMAAqKK8Qc","приглашаю на чашечку","при","1700820431","CAACAgIAAxUAAWVdn8aV3v0hLUme7gNCmwi3sr3hAAIoAwACoorxByY2kzlFQdNmMwQ","AgADKAMAAqKK8Qc","","","VsratyeOk","56681133"
"56681133#AgADKAMAAqKK8Qc","чашечку кофе","чаш","1700820431","CAACAgIAAxUAAWVdn8aV3v0hLUme7gNCmwi3sr3hAAIoAwACoorxByY2kzlFQdNmMwQ","AgADKAMAAqKK8Qc","","","VsratyeOk","56681133"
